Lesson Title,Source,Date
[Exploratory data analysis and quality control](https://stat540-ubc.github.io/lectures/lectures_2020/lect03_explore.pdf),[STAT540](https://stat540-ubc.github.io/),TBD
[Stats/math background for big data](https://stat540-ubc.github.io/lectures/lectures_2020/lect04_StatReview.pdf),[STAT540](https://stat540-ubc.github.io/),TBD
[Two group comparisons](https://stat540-ubc.github.io/lectures/lectures_2020/lect05_TwoGroupComp.pdf),[STAT540](https://stat540-ubc.github.io/),TBD
[ANOVA](https://stat540-ubc.github.io/lectures/lectures_2020/lect06_ANOVA.pdf),[STAT540](https://stat540-ubc.github.io/),TBD
[Linear models](https://stat540-ubc.github.io/lectures/lectures_2020/lect07_LinearModels.pdf),[STAT540](https://stat540-ubc.github.io/),TBD
[Linear modeling with continuous variables](https://stat540-ubc.github.io/lectures/lectures_2020/lect08_Continuous.pdf),[STAT540](https://stat540-ubc.github.io/),TBD
[Multiple testing](https://stat540-ubc.github.io/lectures/lectures_2020/lect09_MultipleTesting.pdf),[STAT540](https://stat540-ubc.github.io/),TBD
[Principal component analysis](https://stat540-ubc.github.io/lectures/lectures_2020/lect13_PCA.pdf),[STAT540](https://stat540-ubc.github.io/),TBD
[Cluster analysis](https://stat540-ubc.github.io/lectures/lectures_2020/lect16_ClusterAnalysis.pdf),[STAT540](https://stat540-ubc.github.io/),TBD
[Supervised learning](https://stat540-ubc.github.io/lectures/lectures_2020/lect20_classification.pdf),[STAT540](https://stat540-ubc.github.io/),TBD
[Supervised learning part 2](https://stat540-ubc.github.io/lectures/lectures_2020/lect21_SL2.pdf),[STAT540](https://stat540-ubc.github.io/),TBD
